,Weight
ADBE,0.014092299468481442
AMD,0.01891375682977286
GOOGL,0.06602606295193231
AMZN,0.059598336912255044
AEP,0.0046659230584821096
AMGN,0.01036124062728759
ADI,0.016066609220287926
ANSS,0.006916468686288132
AAPL,0.11872953272975643
ASML,0.01019334170981439
AZN,0.0052202224065827614
ADSK,0.005154909007178813
ADP,0.021244791938948394
BKR,0.012714438745597917
BIIB,0.014464399416512723
AVGO,0.02095593846445398
CHTR,0.005130811825000446
CTAS,0.0065960751261535675
CSCO,0.020580482800672217
CMCSA,0.01670534384317304
CEG,0.0029935469461265895
COST,0.022164184983245263
DDOG,0.004160808966632101
DXCM,0.004187414038304383
EA,0.016126270037630296
FAST,0.005137014770737929
FTNT,0.005142411558112445
GILD,0.007314656660051653
GFS,0.004063386798531668
HON,0.008530639824504065
ILMN,0.008567571351657385
INTU,0.0054302208660973635
ISRG,0.010006528357894265
KDP,0.004638839464865543
KLAC,0.01668580413088191
LULU,0.003144811967691366
MAR,0.008620966456998912
MELI,0.006263313363929583
META,0.03993369664297584
MU,0.009334106230534803
MSFT,0.10996087209274547
MRNA,0.0024620471259671345
MDLZ,0.006884804307826988
NFLX,0.014067710390898876
NVDA,0.04531089400437306
NXPI,0.016585163673839613
ODFL,0.004005956865124127
PANW,0.002389946086465674
PYPL,0.008303353815799787
PDD,0.004566721975343191
PEP,0.030983910213167144
QCOM,0.006814020517646885
ROST,0.01064833999321173
SNPS,0.01610639302685211
TMUS,0.017294651477933118
TSLA,0.03692659284262151
TTD,0.0032830735629445075
VRTX,0.007612705157821628
WBD,0.002383365121652063
WDAY,0.006632298561729799
