,Weight
ADBE,0.015858644777158752
AMD,0.016678542463965447
ABNB,0.0
GOOGL,0.06741659921893867
AMZN,0.06006380488563927
AEP,0.0011884465025502437
AMGN,0.009983079169306505
ADI,0.01350671370759939
ANSS,0.004973526783257704
AAPL,0.11714034262026181
AMAT,0.005593421956689855
ARM,0.0010731537692563982
ASML,0.010203450739806306
AZN,0.004251363981885931
TEAM,0.0006917268003230089
ADSK,0.004449714185012766
ADP,0.018038548581150175
BKR,0.01220968356570826
BIIB,0.012135840446353756
BKNG,0.0007377515723822381
AVGO,0.0222084831336442
CDNS,0.0004668441913403866
CDW,0.0036892475061348524
CHTR,0.003786549437694539
CTAS,0.005716713864065518
CSCO,0.016020680165202774
CCEP,0.0021186083487227283
CTSH,0.0
CMCSA,0.01810370004935382
CEG,0.0036389282093879805
CPRT,0.0
CSGP,0.0005850399301648688
COST,0.022858189419353706
CRWD,0.0003956693107468778
CSX,0.0
DDOG,0.004182771765454323
DXCM,0.0030277856675242965
FANG,0.0
DLTR,0.0012629180152107804
DASH,0.0
EA,0.01597742378873528
EXC,0.0023416753340878573
FAST,0.005261264767142767
FTNT,0.004004825814553721
GEHC,0.0019607831877338825
GILD,0.00789708564700865
GFS,0.004007818447395894
HON,0.010341731953553165
IDXX,0.0
ILMN,0.007999864913593979
INTC,0.001538290594708566
INTU,0.006860351422238259
ISRG,0.011538613614186932
KDP,0.004880221830327285
KLAC,0.012349374557998038
KHC,0.0
LRCX,0.001063925660513162
LIN,0.0
LULU,0.004111256735836128
MAR,0.007973904534193721
MRVL,0.0004836098648114059
MELI,0.004466059991626371
META,0.038047484229971375
MCHP,0.0010628779226668978
MU,0.006630381343230886
MSFT,0.11009363500326581
MRNA,0.0033449844426964165
MDLZ,0.00763373735159815
MDB,0.0
MNST,3.1156785216418014e-05
NFLX,0.013200393690184326
NVDA,0.04904279003528015
NXPI,0.010902601291773449
ORLY,0.0
ODFL,0.0025590020912254013
ON,0.0
PCAR,0.0
PANW,0.00350596787079885
PAYX,0.0017883235661529167
PYPL,0.006984019042095542
PDD,0.0051100109415199895
PEP,0.02738155179285241
QCOM,0.006894408454512726
REGN,0.001730107232707373
ROP,0.0018062079782310352
ROST,0.009522454789151116
SBUX,0.0026207165343766913
SMCI,0.0
SNPS,0.011911990209415201
TTWO,0.0
TMUS,0.017002924379522423
TSLA,0.03596941462436003
TXN,0.005907709094984155
TTD,0.0033106856372584962
VRSK,0.0
VRTX,0.006648319447895996
WBD,0.0028371392847093553
WDAY,0.007204437530853002
XEL,0.0
ZS,0.0
