,Weight
ADBE,0.016278820747877766
AMD,0.016756474895161355
GOOGL,0.06724313245662018
AMZN,0.05983274468431305
AEP,0.0022937370758547024
AMGN,0.010165410360491418
ADI,0.0142582507667846
ANSS,0.005186810553006532
AAPL,0.1167158231355655
AMAT,0.005213595451707407
ARM,0.0011107118883010507
ASML,0.009473196392669194
AZN,0.004319758528618167
TEAM,0.000913441374736325
ADSK,0.004155983351933306
ADP,0.018645859471876476
BKR,0.01211993960787622
BIIB,0.012260436955953021
BKNG,0.0009046417045325473
AVGO,0.021753119663085962
CDW,0.003410585293533807
CHTR,0.003783071672586905
CTAS,0.006142826676747696
CSCO,0.016222677976567627
CCEP,0.0024199574268246988
CMCSA,0.01795090866091241
CEG,0.0032701233806023615
COST,0.02337549388286051
CRWD,0.0006543565173896582
DDOG,0.004084947753217298
DXCM,0.0029047474359529895
DLTR,0.0013827992290962863
EA,0.015733359093840438
EXC,0.0013934847654240182
FAST,0.005085023541897843
FTNT,0.0043209905830827065
GEHC,0.0021530187604425345
GILD,0.007842316224780366
GFS,0.0038178585522094083
HON,0.010869903843390765
ILMN,0.007987112913259571
INTC,0.0018752364986131223
INTU,0.006171793924354505
ISRG,0.011234967168823318
KDP,0.005105306047403887
KLAC,0.013365163605350531
LRCX,0.0010786725205534362
LULU,0.004017237270213355
MAR,0.00776556413290387
MRVL,0.0002553731036662205
MELI,0.004565494361505008
META,0.03805588179756509
MCHP,0.0013185805114796483
MU,0.007066665830618886
MSFT,0.11026442316029503
MRNA,0.0035163687897858467
MDLZ,0.00631076489493892
MNST,0.0003198010784699628
NFLX,0.013263103318485812
NVDA,0.04913706035152465
NXPI,0.010614081315627676
ODFL,0.0026540329924281264
PANW,0.0032931183415919954
PAYX,0.0019178391621955861
PYPL,0.007373986791846043
PDD,0.004949959306810667
PEP,0.027259474202341122
QCOM,0.007163889406247183
REGN,0.0009012337232521519
ROP,0.001982930138697119
ROST,0.010101133932720097
SBUX,0.0022534917117897463
SNPS,0.013167185846547165
TMUS,0.01718745183189631
TSLA,0.03620190182079514
TXN,0.004230089242911568
TTD,0.0032125280894786928
VRTX,0.006957593020754711
WBD,0.002812314677428248
WDAY,0.0066708528265046465
