,Weight
ADBE,0.021082405109392008
AMD,0.01876475826363748
GOOGL,0.06599944580408992
AMZN,0.06363312122888219
ADI,0.02172609103252285
ANSS,0.009924967769265916
AAPL,0.11295686078314308
ASML,0.013357508817368687
AZN,0.008566739853502727
ADP,0.030705288771557815
BKR,0.01802134264135813
BIIB,0.013538714000769333
AVGO,0.024109844580227684
CSCO,0.0166528434356373
CMCSA,0.02252748045246678
COST,0.03212549276698246
DDOG,0.004544822646320561
EA,0.015915261031789446
ILMN,0.00962690099549304
ISRG,0.012662532841144008
KLAC,0.01679664981099126
LULU,0.006114253777162783
MELI,0.006887553835261804
META,0.03899738481887652
MU,0.008975322797960768
MSFT,0.12016729662803488
MRNA,0.0028902038468784533
NFLX,0.014932897941126929
NVDA,0.04156994921627497
NXPI,0.020588701399501627
PCAR,0.014873121259403942
PYPL,0.008915701875409979
PDD,0.0038474541660870835
PEP,0.047340966399497184
ROST,0.008282498033777978
SNPS,0.02296464929899428
TMUS,0.020866059734600557
TSLA,0.03968650295730213
VRTX,0.014212843643351474
WBD,0.004647565733954209
