,Weight
ADBE,0.02221309467423748
AMD,0.01701484055546041
GOOGL,0.06153138159536394
AMZN,0.07818903391347383
ADI,0.04624148032332875
AAPL,0.10883136736713912
AMAT,0.014916037382736981
ASML,0.019859061362749095
ADP,0.03451510940751613
BIIB,0.027683039084476453
AVGO,0.02671684055299647
CSCO,0.013394363112650451
CMCSA,0.027124940935523305
CPRT,0.029150530806264743
COST,0.028924750156755722
FANG,0.014868899998604024
EA,0.016569774233680182
ISRG,0.019371713020148198
LULU,0.010478162982742689
MAR,0.020817576906369484
META,0.034895607511206864
MSFT,0.12234934344153917
MRNA,0.006900969149359779
NFLX,0.021306731951145283
NVDA,0.046972683159715686
PYPL,0.012441091112817751
PDD,0.008878734124180155
PEP,0.03848518890367443
TMUS,0.030240696853557257
TSLA,0.03911695542058625
