,Weight
ADBE,0.03459357782308619
AMD,0.015949776334263543
GOOGL,0.06758926286983392
AMZN,0.07273284172053003
ADI,0.07114764717091497
AAPL,0.10653062895994284
ASML,0.03231742776712077
ADP,0.04519114394998749
BKR,0.03755758722309946
BIIB,0.041658031350302736
AVGO,0.032214153919476324
CMCSA,0.03153340740162556
COST,0.029399672323807313
META,0.038446799477536577
MSFT,0.13086999969703708
NFLX,0.02150006866171882
NVDA,0.04943775307273204
PEP,0.06325291683278185
TMUS,0.03374506766404033
TSLA,0.044332235780161676
