,Weight
ADBE,0.01509041777391873
AMD,0.017165727580795317
GOOGL,0.06749180089492145
AMZN,0.06019549103877661
AMGN,0.011099823519623611
ADI,0.014261956946984717
ANSS,0.005076141081328176
AAPL,0.11680552102135436
AMAT,0.006443997097759963
ARM,0.0009612199004172869
ASML,0.009807120443164077
AZN,0.0041201479254994585
TEAM,0.0007889499226586849
ADSK,0.004449063478905602
ADP,0.018155305758305602
BKR,0.012815529640177015
BIIB,0.012384839759929076
AVGO,0.02200856884377641
CDW,0.003484798871014602
CHTR,0.003341601700104902
CTAS,0.007543505223222973
CSCO,0.016446865553357188
CCEP,0.002900396698717947
CMCSA,0.01857252410713044
CEG,0.004440734123106109
COST,0.023623558171630303
DDOG,0.004561647423051991
DXCM,0.0026193775661806314
EA,0.0159606142895543
EXC,0.0033893742819095674
FAST,0.00563441630528561
FTNT,0.003793479041872158
GEHC,0.001600599913934284
GILD,0.00677323310182627
GFS,0.003442868719236546
HON,0.009671430420906818
ILMN,0.008573871599910585
INTC,0.0016288220696299266
INTU,0.0076927190023975385
ISRG,0.011887423613061955
KDP,0.003362778130431906
KLAC,0.011926707863255408
LULU,0.0038512080759200503
MAR,0.00839010820350122
MRVL,0.0013715126454994884
MELI,0.004353944228979107
META,0.03799709689714837
MU,0.007000673265880491
MSFT,0.11025786455786901
MRNA,0.003319483669577755
MDLZ,0.00917003941209923
NFLX,0.01271735733172907
NVDA,0.047944980646312654
NXPI,0.01167967424619195
ODFL,0.002943653027617882
PANW,0.0036656931624879843
PYPL,0.0073348730134289684
PDD,0.005009745062789975
PEP,0.0266892106724156
QCOM,0.006031265537308345
ROST,0.010213083851418926
SBUX,0.0029229191413042512
SNPS,0.01254393013287016
TMUS,0.0179912693413646
TSLA,0.036061660001806085
TXN,0.007359215382118272
TTD,0.003170286731428788
VRTX,0.007969618591612592
WBD,0.002857314695508568
WDAY,0.007187348054784338
